['NKT', 'NKD', 'ForwardChecking', 'ArcConsistency', 'DH', 'LCV'] avg time: 0.05425037145614624s
['NKD', 'NKT', 'ForwardChecking', 'ArcConsistency', 'DH', 'LCV'] avg time: 0.05428283214569092s
['NKT', 'NKD', 'ArcConsistency', 'ForwardChecking', 'DH', 'None'] avg time: 0.05431498289108276s
['ArcConsistency', 'ForwardChecking', 'NKD', 'NKT', 'DH', 'LCV'] avg time: 0.05433237552642822s
['NKD', 'ForwardChecking', 'NKT', 'ArcConsistency', 'DH', 'LCV'] avg time: 0.05445289611816406s
['NKT', 'ForwardChecking', 'NKD', 'ArcConsistency', 'DH', 'None'] avg time: 0.05453248023986816s
['NKD', 'DH', 'None'] avg time: 0.05940024852752686s
['NKT', 'DH', 'None'] avg time: 0.06123541593551636s
['ForwardChecking', 'NKD', 'MRV', 'None'] avg time: 0.062794029712677s
['NKD', 'ForwardChecking', 'None', 'None'] avg time: 0.06297739744186401s
['ForwardChecking', 'NKD', 'None', 'None'] avg time: 0.06308319568634033s
['NKD', 'ForwardChecking', 'MRV', 'None'] avg time: 0.0643354058265686s
['NKT', 'ForwardChecking', 'MRV', 'LCV'] avg time: 0.0659289836883545s
['ForwardChecking', 'NKT', 'None', 'LCV'] avg time: 0.06602696180343628s
['ForwardChecking', 'NKT', 'MRV', 'LCV'] avg time: 0.06629793643951416s
['NKT', 'ForwardChecking', 'None', 'LCV'] avg time: 0.06681022644042969s
['ForwardChecking', 'NKT', 'MRV', 'None'] avg time: 0.0690392255783081s
['NKT', 'ForwardChecking', 'MRV', 'None'] avg time: 0.0695623517036438s
['ForwardChecking', 'NKT', 'None', 'None'] avg time: 0.07064381837844849s
['NKT', 'ForwardChecking', 'None', 'None'] avg time: 0.07147244215011597s
['NKD', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.07512869834899902s
['ForwardChecking', 'NKD', 'DH', 'LCV'] avg time: 0.07583764791488648s
['NKD', 'ForwardChecking', 'None', 'LCV'] avg time: 0.0764991283416748s
['ForwardChecking', 'NKD', 'MRV', 'LCV'] avg time: 0.07651668787002563s
['NKD', 'ForwardChecking', 'MRV', 'LCV'] avg time: 0.07710866928100586s
['NKD', 'NKT', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.07764074802398682s
['ArcConsistency', 'MRV', 'None'] avg time: 0.07777047157287598s
['ArcConsistency', 'None', 'LCV'] avg time: 0.07812323570251464s
['ForwardChecking', 'NKD', 'None', 'LCV'] avg time: 0.0781407117843628s
['ArcConsistency', 'MRV', 'LCV'] avg time: 0.07814403772354125s
['ArcConsistency', 'None', 'None'] avg time: 0.0782281994819641s
['NKT', 'ForwardChecking', 'NKD', 'DH', 'LCV'] avg time: 0.0782808542251587s
['NKT', 'NKD', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.07940161228179932s
['ForwardChecking', 'NKD', 'NKT', 'DH', 'LCV'] avg time: 0.07987741231918336s
['ForwardChecking', 'NKT', 'NKD', 'DH', 'LCV'] avg time: 0.0799442172050476s
['ArcConsistency', 'NKT', 'MRV', 'None'] avg time: 0.08002159595489503s
['NKD', 'ArcConsistency', 'None', 'None'] avg time: 0.0800656795501709s
['NKD', 'ArcConsistency', 'MRV', 'LCV'] avg time: 0.0801706075668335s
['NKD', 'ForwardChecking', 'NKT', 'DH', 'LCV'] avg time: 0.08022429943084716s
['NKD', 'ArcConsistency', 'None', 'LCV'] avg time: 0.08047351837158204s
['ArcConsistency', 'NKD', 'MRV', 'None'] avg time: 0.08054919242858886s
['NKD', 'ArcConsistency', 'MRV', 'None'] avg time: 0.08070632219314575s
['ArcConsistency', 'NKD', 'None', 'None'] avg time: 0.08076153993606568s
['ArcConsistency', 'NKD', 'None', 'LCV'] avg time: 0.08082839250564575s
['ArcConsistency', 'NKD', 'MRV', 'LCV'] avg time: 0.08117885589599609s
['ArcConsistency', 'NKT', 'MRV', 'LCV'] avg time: 0.0812377691268921s
['NKT', 'ArcConsistency', 'None', 'None'] avg time: 0.08127586841583252s
['NKT', 'ArcConsistency', 'MRV', 'LCV'] avg time: 0.08173904418945313s
['NKT', 'NKD', 'ArcConsistency', 'None', 'None'] avg time: 0.08175058364868164s
['NKT', 'NKD', 'ArcConsistency', 'MRV', 'LCV'] avg time: 0.08177410364151001s
['NKT', 'NKD', 'ArcConsistency', 'None', 'LCV'] avg time: 0.08181211948394776s
['NKD', 'ArcConsistency', 'NKT', 'None', 'LCV'] avg time: 0.08192402124404907s
['ArcConsistency', 'NKD', 'NKT', 'MRV', 'None'] avg time: 0.08196709156036378s
['NKD', 'NKT', 'ArcConsistency', 'None', 'None'] avg time: 0.08200029134750367s
['NKD', 'ArcConsistency', 'NKT', 'None', 'None'] avg time: 0.0821570873260498s
['NKD', 'NKT', 'ArcConsistency', 'None', 'LCV'] avg time: 0.08222523927688599s
['ArcConsistency', 'NKT', 'None', 'LCV'] avg time: 0.08225506544113159s
['NKT', 'ArcConsistency', 'None', 'LCV'] avg time: 0.08227696418762206s
['NKT', 'ArcConsistency', 'NKD', 'None', 'LCV'] avg time: 0.08228098154067993s
['NKT', 'ArcConsistency', 'MRV', 'None'] avg time: 0.08238588571548462s
['NKD', 'NKT', 'ArcConsistency', 'MRV', 'LCV'] avg time: 0.08261858224868775s
['NKT', 'ArcConsistency', 'NKD', 'MRV', 'None'] avg time: 0.08283894062042237s
['ArcConsistency', 'NKT', 'None', 'None'] avg time: 0.08283897638320922s
['NKT', 'ArcConsistency', 'NKD', 'None', 'None'] avg time: 0.08287904262542725s
['ArcConsistency', 'NKT', 'NKD', 'MRV', 'None'] avg time: 0.08304833173751831s
['NKT', 'ArcConsistency', 'NKD', 'MRV', 'LCV'] avg time: 0.08314740657806396s
['ArcConsistency', 'NKD', 'NKT', 'None', 'None'] avg time: 0.08347001075744628s
['ArcConsistency', 'NKT', 'NKD', 'None', 'None'] avg time: 0.083489990234375s
['ArcConsistency', 'NKD', 'NKT', 'MRV', 'LCV'] avg time: 0.08355129957199096s
['NKD', 'ArcConsistency', 'NKT', 'MRV', 'None'] avg time: 0.08358443975448608s
['ArcConsistency', 'NKD', 'NKT', 'None', 'LCV'] avg time: 0.0836830735206604s
['NKD', 'ArcConsistency', 'NKT', 'MRV', 'LCV'] avg time: 0.08385039567947387s
['NKD', 'NKT', 'ArcConsistency', 'MRV', 'None'] avg time: 0.08397302627563477s
['NKT', 'NKD', 'ArcConsistency', 'MRV', 'None'] avg time: 0.08414533138275146s
['ArcConsistency', 'NKT', 'NKD', 'None', 'LCV'] avg time: 0.08425315618515014s
['ArcConsistency', 'NKT', 'NKD', 'MRV', 'LCV'] avg time: 0.08519258499145507s
['ForwardChecking', 'NKT', 'DH', 'LCV'] avg time: 0.09196350574493409s
['NKT', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.09294770956039429s
['ForwardChecking', 'DH', 'None'] avg time: 0.09950838088989258s
['ForwardChecking', 'None', 'None'] avg time: 0.10353989601135254s
['ForwardChecking', 'None', 'LCV'] avg time: 0.10882993936538696s
['NKT', 'NKD', 'ForwardChecking', 'DH', 'None'] avg time: 0.1090240240097046s
['NKD', 'ForwardChecking', 'NKT', 'DH', 'None'] avg time: 0.10928781032562256s
['NKT', 'ForwardChecking', 'NKD', 'DH', 'None'] avg time: 0.10945321321487426s
['NKD', 'NKT', 'ForwardChecking', 'DH', 'None'] avg time: 0.1095535159111023s
['ForwardChecking', 'NKT', 'NKD', 'DH', 'None'] avg time: 0.11028916835784912s
['ForwardChecking', 'NKD', 'NKT', 'DH', 'None'] avg time: 0.11063457727432251s
['ForwardChecking', 'DH', 'LCV'] avg time: 0.11078484058380127s
['ForwardChecking', 'MRV', 'LCV'] avg time: 0.1115270972251892s
['NKT', 'ArcConsistency', 'DH', 'None'] avg time: 0.11232300996780395s
['ArcConsistency', 'NKD', 'DH', 'LCV'] avg time: 0.11271910667419434s
['ArcConsistency', 'DH', 'LCV'] avg time: 0.11316980123519897s
['ArcConsistency', 'DH', 'None'] avg time: 0.11332480907440186s
['ForwardChecking', 'MRV', 'None'] avg time: 0.11342916488647461s
['NKT', 'NKD', 'ArcConsistency', 'DH', 'None'] avg time: 0.11381347179412842s
['ArcConsistency', 'NKD', 'DH', 'None'] avg time: 0.11417418718338013s
['NKD', 'ArcConsistency', 'DH', 'LCV'] avg time: 0.11428261995315551s
['ArcConsistency', 'NKT', 'DH', 'None'] avg time: 0.11440436840057373s
['NKT', 'ArcConsistency', 'DH', 'LCV'] avg time: 0.11470922231674194s
['NKD', 'ArcConsistency', 'DH', 'None'] avg time: 0.11480816602706909s
['ArcConsistency', 'NKT', 'DH', 'LCV'] avg time: 0.1148149847984314s
['NKT', 'ArcConsistency', 'NKD', 'DH', 'LCV'] avg time: 0.116277015209198s
['NKD', 'NKT', 'ArcConsistency', 'DH', 'LCV'] avg time: 0.11634175777435303s
['ArcConsistency', 'NKT', 'NKD', 'DH', 'LCV'] avg time: 0.1163445234298706s
['NKT', 'ArcConsistency', 'NKD', 'DH', 'None'] avg time: 0.11646400690078736s
['NKT', 'NKD', 'ArcConsistency', 'DH', 'LCV'] avg time: 0.11693116426467895s
['NKD', 'NKT', 'ArcConsistency', 'DH', 'None'] avg time: 0.11696186065673828s
['NKD', 'ArcConsistency', 'NKT', 'DH', 'None'] avg time: 0.11696677207946778s
['ArcConsistency', 'NKD', 'NKT', 'DH', 'None'] avg time: 0.11708946228027343s
['NKD', 'ArcConsistency', 'NKT', 'DH', 'LCV'] avg time: 0.11805117130279541s
['ArcConsistency', 'NKD', 'NKT', 'DH', 'LCV'] avg time: 0.11834262609481812s
['ArcConsistency', 'NKT', 'NKD', 'DH', 'None'] avg time: 0.1184733271598816s
['ForwardChecking', 'NKT', 'DH', 'None'] avg time: 0.14177623987197877s
['NKT', 'ForwardChecking', 'DH', 'None'] avg time: 0.141945481300354s
['ForwardChecking', 'NKD', 'DH', 'None'] avg time: 0.14940617084503174s
['NKD', 'ForwardChecking', 'DH', 'None'] avg time: 0.1505450963973999s
['None', 'MRV', 'LCV'] avg time: 1.223721206188202s
['None', 'None', 'LCV'] avg time: 1.2754259347915649s
['None', 'MRV', 'None'] avg time: 1.3369731426239013s
['None', 'None', 'None'] avg time: 1.3544302463531495s
['None', 'DH', 'LCV'] avg time: infs
['None', 'DH', 'None'] avg time: infs
Start Testing PE2.txt
['NKT', 'NKD', 'DH', 'LCV'] avg time: 0.02847466468811035s
['NKD', 'NKT', 'DH', 'LCV'] avg time: 0.028530406951904296s
['NKD', 'NKT', 'DH', 'None'] avg time: 0.03348320722579956s
['NKT', 'NKD', 'DH', 'None'] avg time: 0.03386809825897217s
['NKD', 'None', 'LCV'] avg time: 0.03674135208129883s
['NKD', 'None', 'None'] avg time: 0.03711700439453125s
['NKT', 'NKD', 'None', 'None'] avg time: 0.038063442707061766s
['NKD', 'NKT', 'None', 'None'] avg time: 0.03830727338790894s
['NKD', 'NKT', 'None', 'LCV'] avg time: 0.040671467781066895s
['NKT', 'MRV', 'None'] avg time: 0.04119695425033569s
['NKT', 'None', 'None'] avg time: 0.04134305715560913s
['NKT', 'NKD', 'None', 'LCV'] avg time: 0.04149296283721924s
['NKD', 'NKT', 'MRV', 'None'] avg time: 0.04157078266143799s
['NKT', 'NKD', 'MRV', 'None'] avg time: 0.04187270402908325s
['NKD', 'MRV', 'None'] avg time: 0.04225625991821289s
['NKT', 'MRV', 'LCV'] avg time: 0.046544992923736574s
['NKD', 'MRV', 'LCV'] avg time: 0.04666764736175537s
['NKD', 'NKT', 'MRV', 'LCV'] avg time: 0.04670480489730835s
['NKT', 'None', 'LCV'] avg time: 0.04683574438095093s
['NKT', 'NKD', 'MRV', 'LCV'] avg time: 0.04739898443222046s
['NKD', 'NKT', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.0680711030960083s
['ForwardChecking', 'NKT', 'NKD', 'DH', 'LCV'] avg time: 0.06808551549911498s
['ForwardChecking', 'NKD', 'NKT', 'DH', 'LCV'] avg time: 0.06837027072906494s
['NKT', 'NKD', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.06837671995162964s
['NKT', 'ForwardChecking', 'NKD', 'DH', 'LCV'] avg time: 0.06876331567764282s
['NKD', 'ForwardChecking', 'NKT', 'DH', 'LCV'] avg time: 0.0690960168838501s
['ForwardChecking', 'ArcConsistency', 'None', 'None'] avg time: 0.07380137443542481s
['ArcConsistency', 'ForwardChecking', 'MRV', 'None'] avg time: 0.07397555112838745s
['ArcConsistency', 'ForwardChecking', 'None', 'None'] avg time: 0.07401210069656372s
['ForwardChecking', 'ArcConsistency', 'MRV', 'None'] avg time: 0.07414237260818482s
['NKT', 'DH', 'LCV'] avg time: 0.07800827026367188s
['NKD', 'ForwardChecking', 'ArcConsistency', 'MRV', 'None'] avg time: 0.0780632734298706s
['ArcConsistency', 'ForwardChecking', 'NKD', 'MRV', 'None'] avg time: 0.07817742824554444s
['NKD', 'ArcConsistency', 'ForwardChecking', 'None', 'None'] avg time: 0.07835065126419068s
['ArcConsistency', 'NKD', 'ForwardChecking', 'MRV', 'None'] avg time: 0.07858088016510009s
['ArcConsistency', 'ForwardChecking', 'NKT', 'None', 'None'] avg time: 0.0788019061088562s
['ForwardChecking', 'ArcConsistency', 'NKD', 'MRV', 'None'] avg time: 0.07895443439483643s
['ArcConsistency', 'ForwardChecking', 'NKT', 'MRV', 'None'] avg time: 0.07899091243743897s
['NKD', 'ForwardChecking', 'ArcConsistency', 'None', 'None'] avg time: 0.0790284514427185s
['ForwardChecking', 'NKD', 'ArcConsistency', 'None', 'None'] avg time: 0.07912695407867432s
['ForwardChecking', 'NKD', 'ArcConsistency', 'MRV', 'None'] avg time: 0.07914438247680664s
['ArcConsistency', 'ForwardChecking', 'NKD', 'None', 'None'] avg time: 0.07958745956420898s
['ForwardChecking', 'ArcConsistency', 'NKD', 'None', 'None'] avg time: 0.07998597621917725s
['NKD', 'ArcConsistency', 'ForwardChecking', 'MRV', 'None'] avg time: 0.08028339147567749s
['ArcConsistency', 'NKT', 'ForwardChecking', 'None', 'None'] avg time: 0.08035498857498169s
['NKT', 'ForwardChecking', 'ArcConsistency', 'MRV', 'None'] avg time: 0.08119513988494872s
['ArcConsistency', 'NKT', 'ForwardChecking', 'MRV', 'None'] avg time: 0.08129849433898925s
['ForwardChecking', 'NKT', 'ArcConsistency', 'None', 'None'] avg time: 0.08131401538848877s
['ForwardChecking', 'NKT', 'ArcConsistency', 'MRV', 'None'] avg time: 0.08144975900650024s
['NKT', 'ForwardChecking', 'ArcConsistency', 'None', 'None'] avg time: 0.08172169923782349s
['NKD', 'ForwardChecking', 'NKT', 'None', 'None'] avg time: 0.08205248117446899s
['NKD', 'ForwardChecking', 'NKT', 'MRV', 'None'] avg time: 0.08230643272399903s
['NKD', 'NKT', 'ForwardChecking', 'MRV', 'None'] avg time: 0.08242212533950806s
['ForwardChecking', 'NKT', 'NKD', 'None', 'None'] avg time: 0.08273922204971314s
['ForwardChecking', 'NKT', 'NKD', 'MRV', 'None'] avg time: 0.08287789821624755s
['ForwardChecking', 'ArcConsistency', 'NKT', 'MRV', 'None'] avg time: 0.08294987678527832s
['ForwardChecking', 'NKD', 'NKT', 'MRV', 'None'] avg time: 0.0829764723777771s
['NKT', 'ForwardChecking', 'NKD', 'ArcConsistency', 'None', 'None'] avg time: 0.08306819200515747s
['NKD', 'ForwardChecking', 'ArcConsistency', 'NKT', 'MRV', 'None'] avg time: 0.08315660953521728s
['NKT', 'ForwardChecking', 'NKD', 'MRV', 'None'] avg time: 0.08328899145126342s
['NKD', 'NKT', 'ForwardChecking', 'ArcConsistency', 'MRV', 'None'] avg time: 0.08335992097854614s
['ArcConsistency', 'NKD', 'ForwardChecking', 'NKT', 'MRV', 'None'] avg time: 0.08341755867004394s
['ArcConsistency', 'NKD', 'NKT', 'ForwardChecking', 'None', 'None'] avg time: 0.08356406688690185s
['NKT', 'ArcConsistency', 'ForwardChecking', 'NKD', 'None', 'None'] avg time: 0.08356775045394897s
['ArcConsistency', 'NKD', 'ForwardChecking', 'None', 'None'] avg time: 0.08357760906219483s
['NKT', 'ForwardChecking', 'ArcConsistency', 'NKD', 'MRV', 'None'] avg time: 0.08372892141342163s
['NKD', 'NKT', 'ArcConsistency', 'ForwardChecking', 'MRV', 'None'] avg time: 0.08377835750579835s
['NKT', 'ArcConsistency', 'NKD', 'ForwardChecking', 'None', 'None'] avg time: 0.08379991054534912s
['NKD', 'ArcConsistency', 'ForwardChecking', 'NKT', 'MRV', 'None'] avg time: 0.08383291959762573s
['NKD', 'ForwardChecking', 'NKT', 'ArcConsistency', 'MRV', 'None'] avg time: 0.08388862609863282s
['NKT', 'NKD', 'ForwardChecking', 'None', 'None'] avg time: 0.08394842147827149s
['ForwardChecking', 'NKD', 'NKT', 'None', 'None'] avg time: 0.08395580053329468s
['ForwardChecking', 'NKT', 'NKD', 'ArcConsistency', 'None', 'None'] avg time: 0.08399641513824463s
['NKT', 'ForwardChecking', 'NKD', 'None', 'None'] avg time: 0.08399858474731445s
['NKD', 'NKT', 'ForwardChecking', 'ArcConsistency', 'None', 'None'] avg time: 0.08399884700775147s
['NKD', 'ArcConsistency', 'NKT', 'ForwardChecking', 'None', 'None'] avg time: 0.08403542041778564s
['NKD', 'NKT', 'ArcConsistency', 'ForwardChecking', 'None', 'None'] avg time: 0.08405987024307252s
['NKD', 'NKT', 'ForwardChecking', 'None', 'None'] avg time: 0.08413169384002686s
['NKT', 'NKD', 'ArcConsistency', 'ForwardChecking', 'MRV', 'None'] avg time: 0.08424969911575317s
['ArcConsistency', 'NKT', 'ForwardChecking', 'NKD', 'None', 'None'] avg time: 0.08428196907043457s
['ForwardChecking', 'NKT', 'ArcConsistency', 'NKD', 'MRV', 'None'] avg time: 0.08437494039535523s
['NKD', 'ArcConsistency', 'ForwardChecking', 'NKT', 'None', 'None'] avg time: 0.08439520597457886s
['NKT', 'ForwardChecking', 'ArcConsistency', 'NKD', 'None', 'None'] avg time: 0.08446307182312011s
['NKT', 'NKD', 'ForwardChecking', 'MRV', 'None'] avg time: 0.0844846487045288s
['ArcConsistency', 'NKT', 'NKD', 'ForwardChecking', 'MRV', 'None'] avg time: 0.08449996709823608s
['NKT', 'ForwardChecking', 'None', 'None'] avg time: 0.08453637361526489s
['ArcConsistency', 'ForwardChecking', 'NKD', 'NKT', 'None', 'None'] avg time: 0.08461915254592896s
['ArcConsistency', 'ForwardChecking', 'NKT', 'NKD', 'MRV', 'None'] avg time: 0.08471213579177857s
['NKT', 'ForwardChecking', 'NKD', 'ArcConsistency', 'MRV', 'None'] avg time: 0.08489475250244141s
['NKD', 'ForwardChecking', 'ArcConsistency', 'NKT', 'None', 'None'] avg time: 0.08489590883255005s
['NKD', 'ForwardChecking', 'NKT', 'ArcConsistency', 'None', 'None'] avg time: 0.08489959239959717s
['NKT', 'NKD', 'ForwardChecking', 'ArcConsistency', 'None', 'None'] avg time: 0.08491241931915283s
['NKT', 'NKD', 'ArcConsistency', 'ForwardChecking', 'None', 'None'] avg time: 0.08502844572067261s
['NKT', 'ArcConsistency', 'ForwardChecking', 'NKD', 'MRV', 'None'] avg time: 0.08510563373565674s
['ForwardChecking', 'NKT', 'ArcConsistency', 'NKD', 'None', 'None'] avg time: 0.08519619703292847s
['NKT', 'NKD', 'ForwardChecking', 'ArcConsistency', 'MRV', 'None'] avg time: 0.08540619611740112s
['ArcConsistency', 'NKD', 'ForwardChecking', 'NKT', 'None', 'None'] avg time: 0.08546367883682252s
['ForwardChecking', 'NKT', 'None', 'None'] avg time: 0.08547484874725342s
['ForwardChecking', 'NKT', 'NKD', 'ArcConsistency', 'MRV', 'None'] avg time: 0.08548146486282349s
['ForwardChecking', 'NKD', 'NKT', 'ArcConsistency', 'MRV', 'None'] avg time: 0.08558549880981445s
['ForwardChecking', 'ArcConsistency', 'NKD', 'NKT', 'None', 'None'] avg time: 0.08559383153915405s
['ArcConsistency', 'NKT', 'NKD', 'ForwardChecking', 'None', 'None'] avg time: 0.08561528921127319s
['ArcConsistency', 'ForwardChecking', 'NKT', 'NKD', 'None', 'None'] avg time: 0.08562175035476685s
['NKD', 'ArcConsistency', 'NKT', 'ForwardChecking', 'MRV', 'None'] avg time: 0.08564573526382446s
['ForwardChecking', 'ArcConsistency', 'NKD', 'NKT', 'MRV', 'None'] avg time: 0.08582214117050171s
['ArcConsistency', 'NKT', 'ForwardChecking', 'NKD', 'MRV', 'None'] avg time: 0.08598026037216186s
['ForwardChecking', 'ArcConsistency', 'NKT', 'NKD', 'None', 'None'] avg time: 0.08609755039215088s
['NKT', 'ArcConsistency', 'NKD', 'ForwardChecking', 'MRV', 'None'] avg time: 0.08613487482070922s
['ForwardChecking', 'NKD', 'ArcConsistency', 'NKT', 'None', 'None'] avg time: 0.08616305589675903s
['ArcConsistency', 'ForwardChecking', 'NKD', 'NKT', 'MRV', 'None'] avg time: 0.08627457618713379s
['ForwardChecking', 'NKD', 'ArcConsistency', 'NKT', 'MRV', 'None'] avg time: 0.08633674383163452s
['NKT', 'ArcConsistency', 'ForwardChecking', 'MRV', 'None'] avg time: 0.08641891479492188s
['ForwardChecking', 'ArcConsistency', 'NKT', 'NKD', 'MRV', 'None'] avg time: 0.08729984760284423s
['NKT', 'DH', 'None'] avg time: 0.0879408836364746s
['NKT', 'ArcConsistency', 'ForwardChecking', 'None', 'None'] avg time: 0.08845374584197999s
['ForwardChecking', 'NKD', 'NKT', 'ArcConsistency', 'None', 'None'] avg time: 0.08900631666183471s
['NKT', 'ForwardChecking', 'None', 'LCV'] avg time: 0.0901601791381836s
['ForwardChecking', 'NKT', 'None', 'LCV'] avg time: 0.09095100164413453s
['ForwardChecking', 'ArcConsistency', 'NKT', 'None', 'None'] avg time: 0.09135133028030396s
['ArcConsistency', 'NKD', 'NKT', 'ForwardChecking', 'MRV', 'None'] avg time: 0.09172691106796264s
['NKD', 'ForwardChecking', 'None', 'LCV'] avg time: 0.09365681409835816s
['NKD', 'DH', 'LCV'] avg time: 0.09427037239074706s
['ForwardChecking', 'NKD', 'None', 'None'] avg time: 0.09480711221694946s
['ForwardChecking', 'NKD', 'None', 'LCV'] avg time: 0.09492498636245728s
['NKD', 'ForwardChecking', 'None', 'None'] avg time: 0.09494850635528565s
['NKD', 'ForwardChecking', 'NKT', 'ArcConsistency', 'DH', 'LCV'] avg time: 0.09752922058105469s
['NKT', 'NKD', 'ArcConsistency', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.09763349294662475s
['NKT', 'ArcConsistency', 'ForwardChecking', 'NKD', 'DH', 'LCV'] avg time: 0.0979299545288086s
['ArcConsistency', 'NKD', 'ForwardChecking', 'NKT', 'DH', 'LCV'] avg time: 0.09794834852218628s
['ArcConsistency', 'NKT', 'NKD', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.09836302995681763s
['NKT', 'ForwardChecking', 'ArcConsistency', 'NKD', 'DH', 'LCV'] avg time: 0.0983954906463623s
['ForwardChecking', 'NKT', 'ArcConsistency', 'NKD', 'DH', 'LCV'] avg time: 0.09844785928726196s
['ForwardChecking', 'NKT', 'NKD', 'DH', 'None'] avg time: 0.09857292175292968s
['NKT', 'ArcConsistency', 'NKD', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.09885948896408081s
['NKD', 'NKT', 'ArcConsistency', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.09897289276123047s
['NKD', 'ArcConsistency', 'ForwardChecking', 'NKT', 'DH', 'LCV'] avg time: 0.09898788928985595s
['NKD', 'NKT', 'ForwardChecking', 'ArcConsistency', 'DH', 'LCV'] avg time: 0.09905803203582764s
['NKT', 'ForwardChecking', 'NKD', 'ArcConsistency', 'DH', 'LCV'] avg time: 0.09908146858215332s
['NKD', 'NKT', 'ForwardChecking', 'DH', 'None'] avg time: 0.09911510944366456s
['ArcConsistency', 'ForwardChecking', 'NKT', 'NKD', 'DH', 'LCV'] avg time: 0.09917901754379273s
['ForwardChecking', 'NKD', 'NKT', 'DH', 'None'] avg time: 0.09919556379318237s
['NKT', 'NKD', 'ForwardChecking', 'ArcConsistency', 'DH', 'LCV'] avg time: 0.09935318231582642s
['NKD', 'ForwardChecking', 'ArcConsistency', 'NKT', 'DH', 'LCV'] avg time: 0.09948524236679077s
['NKD', 'ArcConsistency', 'NKT', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.0995794415473938s
['ArcConsistency', 'ForwardChecking', 'NKD', 'NKT', 'DH', 'LCV'] avg time: 0.09961310625076295s
['ForwardChecking', 'NKT', 'NKD', 'MRV', 'LCV'] avg time: 0.0998448371887207s
['NKD', 'NKT', 'ForwardChecking', 'None', 'LCV'] avg time: 0.09996473789215088s
['NKT', 'NKD', 'ForwardChecking', 'None', 'LCV'] avg time: 0.10008083581924439s
['NKT', 'NKD', 'ForwardChecking', 'MRV', 'LCV'] avg time: 0.10014338493347168s
['ForwardChecking', 'NKT', 'NKD', 'ArcConsistency', 'DH', 'LCV'] avg time: 0.10031050443649292s
['NKD', 'ForwardChecking', 'NKT', 'None', 'LCV'] avg time: 0.10036334991455079s
['NKT', 'ForwardChecking', 'NKD', 'None', 'LCV'] avg time: 0.10039324760437011s
['ArcConsistency', 'NKD', 'NKT', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.1005964994430542s
['NKD', 'ForwardChecking', 'NKT', 'MRV', 'LCV'] avg time: 0.1006849765777588s
['ArcConsistency', 'NKT', 'ForwardChecking', 'NKD', 'DH', 'LCV'] avg time: 0.10072028636932373s
['NKT', 'NKD', 'ForwardChecking', 'DH', 'None'] avg time: 0.10081615447998046s
['ForwardChecking', 'NKD', 'NKT', 'ArcConsistency', 'DH', 'LCV'] avg time: 0.10100215673446655s
['NKD', 'ForwardChecking', 'NKT', 'DH', 'None'] avg time: 0.10105286836624146s
['NKD', 'NKT', 'ForwardChecking', 'MRV', 'LCV'] avg time: 0.10107604265213013s
['ForwardChecking', 'ArcConsistency', 'NKD', 'NKT', 'DH', 'LCV'] avg time: 0.10119600296020508s
['NKT', 'ForwardChecking', 'NKD', 'DH', 'None'] avg time: 0.1014480710029602s
['ForwardChecking', 'NKD', 'NKT', 'MRV', 'LCV'] avg time: 0.10150586366653443s
['NKT', 'ForwardChecking', 'NKD', 'MRV', 'LCV'] avg time: 0.1016233205795288s
['ForwardChecking', 'NKT', 'NKD', 'None', 'LCV'] avg time: 0.10164203643798828s
['ForwardChecking', 'NKD', 'NKT', 'None', 'LCV'] avg time: 0.1019281029701233s
['ForwardChecking', 'ArcConsistency', 'NKT', 'NKD', 'DH', 'LCV'] avg time: 0.10248410701751709s
['ForwardChecking', 'NKT', 'ArcConsistency', 'None', 'LCV'] avg time: 0.10493074655532837s
['ArcConsistency', 'ForwardChecking', 'NKT', 'MRV', 'LCV'] avg time: 0.10621789693832398s
['ArcConsistency', 'ForwardChecking', 'NKT', 'None', 'LCV'] avg time: 0.10640559196472169s
['NKT', 'ForwardChecking', 'MRV', 'None'] avg time: 0.10646237134933471s
['ArcConsistency', 'NKT', 'ForwardChecking', 'None', 'LCV'] avg time: 0.10672519207000733s
['ForwardChecking', 'NKT', 'ArcConsistency', 'MRV', 'LCV'] avg time: 0.10703468322753906s
['NKT', 'ForwardChecking', 'ArcConsistency', 'MRV', 'LCV'] avg time: 0.10717766284942627s
['ArcConsistency', 'NKT', 'ForwardChecking', 'MRV', 'LCV'] avg time: 0.10742728710174561s
['ForwardChecking', 'NKD', 'ArcConsistency', 'NKT', 'DH', 'LCV'] avg time: 0.10779125690460205s
['ForwardChecking', 'ArcConsistency', 'NKT', 'MRV', 'LCV'] avg time: 0.10779269933700561s
['ForwardChecking', 'NKT', 'MRV', 'None'] avg time: 0.10786019563674927s
