['NKT', 'ForwardChecking', 'NKD', 'ArcConsistency', 'MRV', 'LCV'] avg time: 0.040701425075531004s
['ArcConsistency', 'ForwardChecking', 'NKD', 'NKT', 'None', 'None'] avg time: 0.04070501327514649s
['NKD', 'ForwardChecking', 'ArcConsistency', 'NKT', 'None', 'LCV'] avg time: 0.04072445631027222s
['NKD', 'ForwardChecking', 'ArcConsistency', 'NKT', 'MRV', 'None'] avg time: 0.04073580503463745s
['ForwardChecking', 'NKD', 'ArcConsistency', 'NKT', 'MRV', 'LCV'] avg time: 0.040739130973815915s
['NKD', 'NKT', 'ArcConsistency', 'ForwardChecking', 'MRV', 'LCV'] avg time: 0.04077435731887817s
['ArcConsistency', 'ForwardChecking', 'NKD', 'NKT', 'None', 'LCV'] avg time: 0.04077726602554321s
['NKT', 'ForwardChecking', 'NKD', 'ArcConsistency', 'None', 'None'] avg time: 0.04081572294235229s
['NKD', 'ArcConsistency', 'NKT', 'ForwardChecking', 'None', 'None'] avg time: 0.04082710742950439s
['NKD', 'ForwardChecking', 'NKT', 'ArcConsistency', 'None', 'LCV'] avg time: 0.04089123010635376s
['NKD', 'NKT', 'ForwardChecking', 'ArcConsistency', 'None', 'None'] avg time: 0.040967345237731934s
['NKD', 'NKT', 'ForwardChecking', 'ArcConsistency', 'None', 'LCV'] avg time: 0.040973973274230954s
['NKT', 'ArcConsistency', 'ForwardChecking', 'NKD', 'None', 'None'] avg time: 0.04100313186645508s
['NKT', 'ArcConsistency', 'NKD', 'ForwardChecking', 'None', 'LCV'] avg time: 0.04100856781005859s
['ArcConsistency', 'NKD', 'NKT', 'ForwardChecking', 'None', 'None'] avg time: 0.041032052040100096s
['ForwardChecking', 'NKD', 'ArcConsistency', 'NKT', 'None', 'None'] avg time: 0.04103983640670776s
['NKT', 'NKD', 'ForwardChecking', 'ArcConsistency', 'None', 'LCV'] avg time: 0.04105076789855957s
['ForwardChecking', 'ArcConsistency', 'NKT', 'NKD', 'None', 'LCV'] avg time: 0.04108067750930786s
['ForwardChecking', 'NKD', 'NKT', 'ArcConsistency', 'None', 'None'] avg time: 0.04109058380126953s
['ForwardChecking', 'ArcConsistency', 'NKT', 'NKD', 'None', 'None'] avg time: 0.04109071493148804s
['NKD', 'ForwardChecking', 'NKT', 'ArcConsistency', 'MRV', 'None'] avg time: 0.04114004373550415s
['ArcConsistency', 'NKT', 'ForwardChecking', 'NKD', 'None', 'None'] avg time: 0.04117848873138428s
['ArcConsistency', 'NKT', 'ForwardChecking', 'NKD', 'MRV', 'LCV'] avg time: 0.04118270874023437s
['ForwardChecking', 'ArcConsistency', 'NKT', 'NKD', 'MRV', 'None'] avg time: 0.04120635986328125s
['NKD', 'ArcConsistency', 'ForwardChecking', 'NKT', 'None', 'LCV'] avg time: 0.041209709644317624s
['NKT', 'DH', 'LCV'] avg time: 0.041274738311767575s
['NKD', 'ForwardChecking', 'NKT', 'ArcConsistency', 'MRV', 'LCV'] avg time: 0.04127954244613648s
['ArcConsistency', 'NKD', 'ForwardChecking', 'NKT', 'None', 'LCV'] avg time: 0.04129005670547485s
['NKD', 'ArcConsistency', 'ForwardChecking', 'NKT', 'MRV', 'LCV'] avg time: 0.04130939245223999s
['NKT', 'ArcConsistency', 'ForwardChecking', 'NKD', 'None', 'LCV'] avg time: 0.041327619552612306s
['NKD', 'NKT', 'ForwardChecking', 'ArcConsistency', 'MRV', 'None'] avg time: 0.041376471519470215s
['ArcConsistency', 'NKD', 'NKT', 'ForwardChecking', 'MRV', 'LCV'] avg time: 0.04137675762176514s
['ForwardChecking', 'NKT', 'NKD', 'ArcConsistency', 'MRV', 'LCV'] avg time: 0.041581225395202634s
['NKD', 'NKT', 'ArcConsistency', 'ForwardChecking', 'None', 'LCV'] avg time: 0.04158861637115478s
['NKT', 'ArcConsistency', 'ForwardChecking', 'NKD', 'MRV', 'LCV'] avg time: 0.04168061017990112s
['ArcConsistency', 'NKT', 'ForwardChecking', 'NKD', 'None', 'LCV'] avg time: 0.04172524213790894s
['ForwardChecking', 'NKD', 'NKT', 'ArcConsistency', 'None', 'LCV'] avg time: 0.04180828332901001s
['NKT', 'ArcConsistency', 'ForwardChecking', 'NKD', 'MRV', 'None'] avg time: 0.041943907737731934s
['NKT', 'ForwardChecking', 'NKD', 'MRV', 'None'] avg time: 0.04471297264099121s
['NKD', 'ForwardChecking', 'NKT', 'MRV', 'None'] avg time: 0.044769573211669925s
['NKT', 'ForwardChecking', 'NKD', 'None', 'None'] avg time: 0.04505443572998047s
['NKT', 'NKD', 'ForwardChecking', 'MRV', 'None'] avg time: 0.04505865573883057s
['NKT', 'NKD', 'ForwardChecking', 'None', 'None'] avg time: 0.04510111808776855s
['ForwardChecking', 'NKT', 'NKD', 'MRV', 'None'] avg time: 0.045155000686645505s
['ForwardChecking', 'NKT', 'NKD', 'None', 'None'] avg time: 0.045288801193237305s
['NKD', 'NKT', 'ForwardChecking', 'MRV', 'None'] avg time: 0.045510637760162356s
['ForwardChecking', 'NKD', 'NKT', 'None', 'None'] avg time: 0.04568042755126953s
['NKD', 'ForwardChecking', 'NKT', 'None', 'None'] avg time: 0.0458640456199646s
['ForwardChecking', 'NKD', 'NKT', 'MRV', 'None'] avg time: 0.046045005321502686s
['NKD', 'NKT', 'ForwardChecking', 'None', 'None'] avg time: 0.04666340351104736s
['ArcConsistency', 'ForwardChecking', 'DH', 'None'] avg time: 0.04737827777862549s
['ForwardChecking', 'ArcConsistency', 'DH', 'LCV'] avg time: 0.04744652509689331s
['ForwardChecking', 'ArcConsistency', 'DH', 'None'] avg time: 0.04781885147094726s
['ArcConsistency', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.04911985397338867s
['NKT', 'ForwardChecking', 'NKD', 'MRV', 'LCV'] avg time: 0.049397754669189456s
['ArcConsistency', 'NKD', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.049757742881774904s
['NKT', 'ForwardChecking', 'NKD', 'None', 'LCV'] avg time: 0.04986404180526734s
['NKD', 'ForwardChecking', 'ArcConsistency', 'DH', 'LCV'] avg time: 0.05013604164123535s
['NKD', 'NKT', 'ForwardChecking', 'None', 'LCV'] avg time: 0.050204896926879884s
['ForwardChecking', 'NKD', 'NKT', 'None', 'LCV'] avg time: 0.050253331661224365s
['NKD', 'NKT', 'DH', 'None'] avg time: 0.05028271675109863s
['NKT', 'NKD', 'ForwardChecking', 'MRV', 'LCV'] avg time: 0.050286602973937986s
['ForwardChecking', 'NKD', 'ArcConsistency', 'DH', 'None'] avg time: 0.05033215284347534s
['ArcConsistency', 'ForwardChecking', 'NKD', 'DH', 'LCV'] avg time: 0.05034403800964356s
['NKD', 'ForwardChecking', 'NKT', 'None', 'LCV'] avg time: 0.05036572217941284s
['NKD', 'ArcConsistency', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.050468599796295165s
['ForwardChecking', 'ArcConsistency', 'NKT', 'DH', 'None'] avg time: 0.050530636310577394s
['NKT', 'NKD', 'ForwardChecking', 'None', 'LCV'] avg time: 0.0505601167678833s
['ForwardChecking', 'NKD', 'NKT', 'MRV', 'LCV'] avg time: 0.05061190128326416s
['ForwardChecking', 'ArcConsistency', 'NKT', 'DH', 'LCV'] avg time: 0.05067733526229858s
['ArcConsistency', 'NKT', 'ForwardChecking', 'DH', 'LCV'] avg time: 0.050678932666778566s
['NKD', 'NKT', 'ForwardChecking', 'MRV', 'LCV'] avg time: 0.05069808959960938s
